brand,PrintvsDigi,sub_type,pricecat,flow_type,flow_direction,exog,exog_pricecat,exog_flow,exog_lag,model,comment
NB,Print,Print_full,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,2,statsmodels,
NB,Print,Print_full,STUDENTS,Regular,Inflow,campaigns,STUDENTS,inflow,0,statsmodels,
NB,Print,Print_full,STUDENTS,Regular,Outflow,other_flow,STUDENTS,newcheck,9,GLS,
NB,Print,Print_full,STUDENTS,Transformers,Inflow,,,,,Excluded,
NB,Print,Print_full,STUDENTS,Transformers,Outflow,,,,,Excluded,
NB,Print,Print_full,STUDENTS,Switchers,Inflow,,,,,Excluded,
NB,Print,Print_full,STUDENTS,Switchers,Outflow,,,,,Excluded,
NB,Print,Print_full,STUNT,Regular,Inflow,,,,,Excluded,
NB,Print,Print_full,STUNT,Regular,Outflow,,,,,Excluded,
NB,Print,Print_full,STUNT,Transformers,Inflow,,,,,Excluded,
NB,Print,Print_full,STUNT,Transformers,Outflow,,,,,Excluded,
NB,Print,Print_full,STUNT,Switchers,Inflow,,,,,Excluded,
NB,Print,Print_full,STUNT,Switchers,Outflow,,,,,Excluded,
NB,Print,Print_full,TIE_IN,Regular,Inflow,,,,,statsmodels,
NB,Print,Print_full,TIE_IN,Regular,Outflow,other_flow,TIE_IN,newcheck,0,statsmodels,
NB,Print,Print_full,TIE_IN,Transformers,Inflow,,,,,Excluded,
NB,Print,Print_full,TIE_IN,Transformers,Outflow,,,,,Excluded,
NB,Print,Print_full,TIE_IN,Switchers,Inflow,,,,,Excluded,
NB,Print,Print_full,TIE_IN,Switchers,Outflow,,,,,Excluded,
DS,Print,Schools,BASE,Regular,Inflow,,,,,Excluded,
DS,Print,Schools,BASE,Regular,Outflow,,,,,Excluded,
DS,Print,Schools,BASE,Transformers,Inflow,,,,,Excluded,
DS,Print,Schools,BASE,Transformers,Outflow,,,,,Excluded,
DS,Print,Schools,BASE,Switchers,Inflow,,,,,Excluded,
DS,Print,Schools,BASE,Switchers,Outflow,,,,,Excluded,
DS,Print,Schools,PROMO,Active,Total,,,,,pm,
DS,Print,Schools,PROMO,Regular,Inflow,,,,,Excluded,
DS,Print,Schools,PROMO,Regular,Outflow,,,,,Excluded,
DS,Print,Schools,PROMO,Transformers,Inflow,,,,,Excluded,
DS,Print,Schools,PROMO,Transformers,Outflow,,,,,Excluded,
DS,Print,Schools,PROMO,Switchers,Inflow,,,,,Excluded,
DS,Print,Schools,PROMO,Switchers,Outflow,,,,,Excluded,
NB,Print,Schools,BASE,Regular,Inflow,,,,,Excluded,
NB,Print,Schools,BASE,Regular,Outflow,,,,,Excluded,
NB,Print,Schools,BASE,Transformers,Inflow,,,,,Excluded,
NB,Print,Schools,BASE,Transformers,Outflow,,,,,Excluded,
NB,Print,Schools,BASE,Switchers,Inflow,,,,,Excluded,
NB,Print,Schools,BASE,Switchers,Outflow,,,,,Excluded,
NB,Print,Schools,PROMO,Active,Total,,,,,pm,
NB,Print,Schools,PROMO,Regular,Inflow,,,,,Excluded,
NB,Print,Schools,PROMO,Regular,Outflow,,,,,Excluded,
NB,Print,Schools,PROMO,Transformers,Inflow,,,,,Excluded,
NB,Print,Schools,PROMO,Transformers,Outflow,,,,,Excluded,
NB,Print,Schools,PROMO,Switchers,Inflow,,,,,Excluded,
NB,Print,Schools,PROMO,Switchers,Outflow,,,,,Excluded,
DS,Digi,WEDI,BASE,Regular,Inflow,campaigns,BASE,inflow,0,statsmodels,
DS,Digi,WEDI,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,WEDI,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
DS,Digi,WEDI,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,WEDI,BASE,Switchers,Inflow,,,,,statsmodels,
DS,Digi,WEDI,BASE,Switchers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
